origin_iata,dest_iata,origin_city,dest_city,origin_country,dest_country,origin_country_code,dest_country_code,origin_lat,origin_lon,dest_lat,dest_lon,distance_nm,bearing_deg,range_limited,annual_pax,quick_score,traffic_source,route_region,overwater_pct,time_saved_hr,bti_origin,bti_dest,supersonic_block_hr,subsonic_block_hr,time_saved_pct,effective_speed_kts,overwater_cruise_hr,boomless_cruise_hr,subsonic_phase_hr,overture_without_boomless_block_hr,boomless_savings_min,region,yield_per_km,business_fare,first_fare,total_score,traffic_score,premium_demand_score,time_savings_score,viability_score,revenue_score,estimated_premium_pax,estimated_supersonic_revenue_M,business_fare_est,first_fare_est,route_type,revenue_per_flight,cost_per_flight,profit_per_flight,annual_revenue_M,annual_cost_M,annual_profit_M,payback_years,breakeven_load_factor,flights_per_day,fuel_cost_per_flight,non_fuel_cost_per_flight,fuel_per_hr,total_fuel_kg,rank,tier,tier_label,why_this_route
LHR,SEA,London,Seattle,United Kingdom,United States,GB,US,51.470748,-0.459909,47.447943,-122.310276,4158.9,322.1,False,700000,54950000.0,observed,transatlantic,0.85,4.26,96.0,61.0,5.09,9.35,0.4558,859.7,3.63,0.95,0.52,5.47,22.9,transatlantic,0.2767,2131.21,3836.18,82.35,19.3,14.13,22.86,13.95,12.11,105000,67.13,2131.21,3836.18,overwater,122758.0,55004.0,67754.0,44.81,20.08,24.73,8.1,0.358,1.0,17574.0,37430.0,4062.0,20675.0,21,Tier 1,Flagship,"LHR-SEA ranks highly because it combines 0.7M annual passengers, strong business demand (BTI 96/61), 85% overwater routing, and 4.3 hours of block-time savings. Estimated annual supersonic revenue potential is $67M."
IAD,LHR,Washington DC,London,United States,United Kingdom,US,GB,38.9445,-77.455803,51.470748,-0.459909,3186.8,49.4,False,1400000,113400000.0,observed,transatlantic,0.85,3.26,66.0,96.0,4.02,7.28,0.4479,845.5,2.78,0.72,0.52,4.31,17.6,transatlantic,0.3172,1872.14,3369.84,81.68,20.29,14.58,20.37,13.95,12.49,210000,117.94,1872.14,3369.84,overwater,107835.0,42378.0,65457.0,78.72,30.94,47.78,4.2,0.314,2.0,13697.0,28681.0,4008.0,16114.0,22,Tier 1,Flagship,"IAD-LHR ranks highly because it combines 1.4M annual passengers, strong business demand (BTI 66/96), 85% overwater routing, and 3.3 hours of block-time savings. Estimated annual supersonic revenue potential is $118M."
AMS,JFK,Amsterdam,New York,Netherlands,United States,NL,US,52.308601,4.76389,40.639447,-73.779317,3157.4,290.6,False,1200000,96600000.0,observed,transatlantic,0.85,3.23,63.0,98.0,3.99,7.22,0.4476,844.9,2.75,0.72,0.52,4.28,17.4,transatlantic,0.3184,1862.03,3351.65,81.16,20.07,14.49,20.27,13.95,12.38,180000,100.55,1862.03,3351.65,overwater,107253.0,41999.0,65254.0,78.29,30.66,47.64,4.2,0.313,2.0,13582.0,28417.0,4005.0,15979.0,23,Tier 1,Flagship,"AMS-JFK ranks highly because it combines 1.2M annual passengers, strong business demand (BTI 63/98), 85% overwater routing, and 3.2 hours of block-time savings. Estimated annual supersonic revenue potential is $101M."
JFK,ZRH,New York,Zurich,United States,Switzerland,US,CH,40.639447,-73.779317,47.458056,8.548056,3407.0,53.3,False,650000,52325000.0,observed,transatlantic,0.85,3.49,98.0,63.0,4.26,7.75,0.4501,849.4,2.97,0.77,0.52,4.57,18.8,transatlantic,0.308,1943.6,3498.48,80.77,19.19,14.49,21.14,13.95,12.0,97500,56.85,1943.6,3498.48,overwater,111951.0,45223.0,66729.0,81.72,33.01,48.71,4.1,0.323,2.0,14560.0,30663.0,4021.0,17129.0,24,Tier 1,Flagship,"JFK-ZRH ranks highly because it combines 0.7M annual passengers, strong business demand (BTI 98/63), 85% overwater routing, and 3.5 hours of block-time savings. Estimated annual supersonic revenue potential is $57M."
ICN,SEA,Seoul,Seattle,South Korea,United States,KR,US,37.469101,126.450996,47.447943,-122.310276,4521.2,40.7,False,800000,52000000.0,observed,transpacific,0.9,4.74,69.0,61.0,5.38,10.12,0.4688,882.2,4.17,0.69,0.52,5.65,16.6,transpacific,0.195,1632.79,2939.02,80.66,19.49,11.7,23.15,14.3,12.02,120000,58.78,1632.79,2939.02,overwater,94049.0,59623.0,34426.0,34.33,21.76,12.57,15.9,0.507,1.0,18932.0,40691.0,4140.0,22273.0,25,Tier 1,Flagship,"ICN-SEA ranks highly because it combines 0.8M annual passengers, strong business demand (BTI 69/61), 90% overwater routing, and 4.7 hours of block-time savings. Estimated annual supersonic revenue potential is $59M."
BOS,LHR,Boston,London,United States,United Kingdom,US,GB,42.36197,-71.0079,51.470748,-0.459909,2829.4,53.3,False,1500000,119250000.0,observed,transatlantic,0.85,2.89,63.0,96.0,3.63,6.52,0.4438,838.0,2.47,0.64,0.52,3.89,15.6,transatlantic,0.3321,1740.21,3132.39,80.25,20.39,14.31,19.12,13.95,12.48,225000,117.46,1740.21,3132.39,overwater,100236.0,37758.0,62478.0,73.17,27.56,45.61,4.4,0.301,2.0,12294.0,25465.0,3984.0,14463.0,26,Tier 1,Flagship,"BOS-LHR ranks highly because it combines 1.5M annual passengers, strong business demand (BTI 63/96), 85% overwater routing, and 2.9 hours of block-time savings. Estimated annual supersonic revenue potential is $117M."
DXB,SIN,Dubai,Singapore,United Arab Emirates,Singapore,AE,SG,25.24979,55.370992,1.35019,103.994003,3156.5,109.2,False,1593558,150733514.91021332,gravity_model,middle_east_long_haul,0.7722,3.11,73.0,80.0,4.11,7.22,0.431,818.6,2.5,1.09,0.52,4.55,26.4,middle_east,0.2654,1551.43,2792.57,80.02,19.78,15.3,19.51,13.41,12.02,239034,111.25,1551.43,2792.57,hybrid,89362.0,42041.0,47322.0,65.23,30.69,34.54,5.8,0.376,2.0,13632.0,28408.0,3902.0,16038.0,27,Tier 1,Flagship,"DXB-SIN blends full Mach 1.7 overwater cruise with Boomless Cruise over land, saving 3.1 hours across a 77% overwater routing. Its 1.6M annual passengers and BTI 73/80 endpoints make it a strong mixed-regime candidate."
HND,LHR,Tokyo,London,Japan,United Kingdom,JP,GB,35.549678,139.786958,51.470748,-0.459909,5179.2,336.5,True,763668,184544699.76810497,gravity_model,default_long_haul,0.2846,3.88,91.0,96.0,7.64,11.52,0.3366,700.6,1.51,5.61,0.52,9.91,136.2,europe_asia,0.225,2158.17,3884.71,78.98,18.76,18.7,19.77,9.99,11.76,114550,74.17,2158.17,3884.71,hybrid,124311.0,68753.0,55558.0,45.37,25.09,20.28,9.9,0.442,1.0,22140.0,46613.0,3409.0,26047.0,28,Tier 1,Flagship,"HND-LHR blends full Mach 1.7 overwater cruise with Boomless Cruise over land, saving 3.9 hours across a 28% overwater routing. Its 0.8M annual passengers and BTI 91/96 endpoints make it a strong mixed-regime candidate."
HND,SEA,Tokyo,Seattle,Japan,United States,JP,US,35.549678,139.786958,47.447943,-122.310276,4163.8,45.7,False,884373,119424333.36636215,gravity_model,transpacific,0.9617,4.49,91.0,61.0,4.87,9.36,0.4802,902.2,4.11,0.24,0.52,4.96,5.9,transpacific,0.1997,1539.88,2771.79,78.75,16.69,13.68,23.41,14.73,10.24,132656,61.28,1539.88,2771.79,overwater,88697.0,54953.0,33744.0,32.37,20.06,12.32,16.2,0.496,1.0,17479.0,37474.0,4222.0,20563.0,29,Tier 1,Flagship,"HND-SEA ranks highly because it combines 0.9M annual passengers, strong business demand (BTI 91/61), 96% overwater routing, and 4.5 hours of block-time savings. Estimated annual supersonic revenue potential is $61M."
LHR,MIA,London,Miami,United Kingdom,United States,GB,US,51.470748,-0.459909,25.796011,-80.289751,3838.4,279.4,False,900000,68850000.0,observed,transatlantic,0.9275,4.08,96.0,57.0,4.59,8.67,0.4704,884.5,3.65,0.42,0.52,4.76,10.2,transatlantic,0.2901,2061.91,3711.44,78.52,17.43,12.55,23.19,14.49,10.86,135000,83.51,2061.91,3711.44,overwater,118766.0,50754.0,68012.0,43.35,18.53,24.82,8.1,0.342,1.0,16209.0,34546.0,4154.0,19069.0,30,Tier 1,Flagship,"LHR-MIA ranks highly because it combines 0.9M annual passengers, strong business demand (BTI 96/57), 93% overwater routing, and 4.1 hours of block-time savings. Estimated annual supersonic revenue potential is $84M."
LHR,NRT,London,Tokyo,United Kingdom,Japan,GB,JP,51.470748,-0.459909,35.76858,140.388714,5178.8,30.9,True,575391,131236834.48254915,gravity_model,default_long_haul,0.2769,3.86,96.0,91.0,7.66,11.52,0.3349,698.8,1.47,5.67,0.52,9.96,137.6,europe_asia,0.225,2158.01,3884.41,78.26,18.37,18.7,19.67,9.94,11.58,86309,55.88,2158.01,3884.41,hybrid,124301.0,68759.0,55542.0,45.37,25.1,20.27,9.9,0.443,1.0,22150.0,46609.0,3402.0,26059.0,31,Tier 1,Flagship,"LHR-NRT blends full Mach 1.7 overwater cruise with Boomless Cruise over land, saving 3.9 hours across a 28% overwater routing. Its 0.6M annual passengers and BTI 96/91 endpoints make it a strong mixed-regime candidate."
IAH,LHR,Houston,London,United States,United Kingdom,US,GB,29.9844,-95.3414,51.470748,-0.459909,4191.7,41.4,False,1000000,76000000.0,observed,transatlantic,0.85,4.29,56.0,96.0,5.12,9.42,0.456,860.1,3.65,0.95,0.52,5.51,23.1,transatlantic,0.2753,2137.41,3847.34,77.78,17.56,12.46,22.86,13.95,10.95,150000,96.18,2137.41,3847.34,overwater,123115.0,55376.0,67739.0,44.94,20.21,24.72,8.1,0.36,1.0,17650.0,37725.0,4056.0,20765.0,32,Tier 1,Flagship,"IAH-LHR ranks highly because it combines 1.0M annual passengers, strong business demand (BTI 56/96), 85% overwater routing, and 4.3 hours of block-time savings. Estimated annual supersonic revenue potential is $96M."
ATL,LHR,Atlanta,London,United States,United Kingdom,US,GB,33.6367,-84.428101,51.470748,-0.459909,3650.6,45.2,False,1300000,99450000.0,observed,transatlantic,0.85,3.74,57.0,96.0,4.53,8.27,0.4522,853.2,3.18,0.83,0.52,4.86,20.1,transatlantic,0.2979,2013.94,3625.09,77.42,17.89,12.55,21.96,13.95,11.07,195000,117.82,2013.94,3625.09,overwater,116003.0,48382.0,67621.0,42.34,17.66,24.68,8.1,0.334,1.0,15526.0,32855.0,4032.0,18266.0,33,Tier 1,Flagship,"ATL-LHR ranks highly because it combines 1.3M annual passengers, strong business demand (BTI 57/96), 85% overwater routing, and 3.7 hours of block-time savings. Estimated annual supersonic revenue potential is $118M."
IST,JFK,Istanbul,New York,Turkey,United States,TR,US,41.274874,28.732136,40.639447,-73.779317,4333.5,308.9,False,600000,46200000.0,observed,transatlantic,0.85,4.44,56.0,98.0,5.28,9.72,0.4569,861.6,3.78,0.98,0.52,5.68,23.9,transatlantic,0.27,2166.92,3900.46,77.02,16.91,12.63,22.88,13.95,10.65,90000,58.51,2166.92,3900.46,overwater,124815.0,57231.0,67584.0,45.56,20.89,24.67,8.1,0.367,1.0,18229.0,39002.0,4062.0,21446.0,34,Tier 1,Flagship,"IST-JFK ranks highly because it combines 0.6M annual passengers, strong business demand (BTI 56/98), 85% overwater routing, and 4.4 hours of block-time savings. Estimated annual supersonic revenue potential is $59M."
EWR,ZRH,New York,Zurich,United States,Switzerland,US,CH,40.6894,-74.170545,47.458056,8.548056,3419.5,53.1,False,866282,78435880.46136793,gravity_model,transatlantic,0.85,3.5,98.0,63.0,4.27,7.78,0.4502,849.6,2.98,0.78,0.52,4.59,18.9,transatlantic,0.3075,1947.43,3505.38,76.63,16.66,14.49,21.17,13.95,10.36,129942,75.92,1947.43,3505.38,overwater,112172.0,45401.0,66771.0,81.89,33.14,48.74,4.1,0.324,2.0,14625.0,30776.0,4030.0,17206.0,35,Tier 1,Flagship,"EWR-ZRH ranks highly because it combines 0.9M annual passengers, strong business demand (BTI 98/63), 85% overwater routing, and 3.5 hours of block-time savings. Estimated annual supersonic revenue potential is $76M."
JFK,LAX,New York,Los Angeles,United States,United States,US,US,40.639447,-73.779317,33.942501,-118.407997,2145.9,273.8,False,4200000,361200000.0,observed,americas_long_haul,0.0,1.56,98.0,74.0,3.5,5.07,0.3088,660.0,0.0,3.25,0.25,4.82,78.9,americas,0.2805,1114.57,2006.23,76.57,24.85,17.2,11.89,8.0,14.63,630000,210.65,1114.57,2006.23,overland,64199.0,28684.0,35515.0,46.87,20.94,25.93,7.7,0.357,2.0,9371.0,19313.0,3150.0,11025.0,36,Tier 1,Flagship,"JFK-LAX ranks #36 as a Boomless Cruise route, flying at Mach 1.15 over land to save 1.6 hours. With 4.2M annual passengers and strong premium demand (BTI 98/74), it highlights the new overland opportunity unlocked by quiet supersonic operations."
